seal_name,bucket_list,number
rooster,[1,1,0,0,1,1,0,0,1,1],[1,0,0,0,0,0,0,0,0,0]
boar,[0,0,0,0,0,0,0,0,0,0],[0,1,0,0,0,0,0,0,0,0]
dog,[0,0,0,0,0,1,1,1,1,1],[0,0,1,0,0,0,0,0,0,0]
dragon,[1,0,0,0,1,1,0,0,0,1],[0,0,0,1,0,0,0,0,0,0]
hare,[0,0,0,0,1,0,0,0,1,1],[0,0,0,0,1,0,0,0,0,0]
horse,[0,1,0,0,0,0,0,0,1,0],[0,0,0,0,0,1,0,0,0,0]
monkey,[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,1,0,0,0]
ox,[1,1,1,1,1,1,0,0,1,0],[0,0,0,0,0,0,0,1,0,0]
ram,[0,1,1,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,1,0]
rat,[0,0,0,0,0,0,0,1,1,0],[0,0,0,0,0,0,0,0,0,1]
